X,Y,count,ACCIDENT_NO,Year,Quarter,AGE,RD_U_DESC,SEX,N_TYPE_DES,Region,DAY_OF_WEEK,Day Week Description,Light,NO_PERSONS_KILLED,Road,Speed,Weather,Death,NO_PERSONS,Lng,Lat
2508215.796,2400842.975,1,T20150013823,2015,3,39,Motorcyclists,M,Intersection,MONASH,4,Wednesday,Dark Street lights on,1,Cross intersection,60,Clear,0.25,4,145.0934073,-37.89348218
2508126.719,2488400.553,1,T20150014077,2015,3,49,Motorcyclists,M,Non Intersection,MITCHELL,7,Saturday,Day,1,Not at intersection,110,Clear,0.5,2,145.0914385,-37.10450028
2204276.744,2359147.484,1,T20150017566,2015,3,36,Motorcyclists,M,Non Intersection,GLENELG,1,Sunday,Dark No street lights,1,Not at intersection,80,Clear,1,1,141.6224429,-38.22188892
2512742.365,2405489.484,1,T20150019033,2015,3,32,Motorcyclists,M,Non Intersection,WHITEHORSE,1,Sunday,Day,1,Not at intersection,80,Clear,1,1,145.1447906,-37.85156699
2537285.012,2423589.88,1,T20150019565,2015,3,40,Motorcyclists,F,Non Intersection,YARRA RANGES,1,Sunday,Day,1,Not at intersection,100,Clear,0.2,5,145.4227511,-37.68782013
2508336.343,2421908.134,1,T20150019786,2015,3,31,Motorcyclists,M,Intersection,BANYULE,4,Wednesday,Dark Street lights on,1,Cross intersection,60,Clear,0.5,2,145.09454,-37.70368208
2715530.047,2400131.218,1,T20150020725,2015,4,53,Motorcyclists,F,Non Intersection,EAST GIPPSLAND,4,Wednesday,Dusk/Dawn,1,Not at intersection,100,Clear,0.333333333,3,147.4500806,-37.8749417
2519586.183,2391930.132,1,T20150021507,2015,4,31,Motorcyclists,M,Intersection,DANDENONG,7,Saturday,Dark Street lights on,1,Cross intersection,60,Clear,0.5,2,145.2229169,-37.9736128
2524734.409,2469466.823,1,T20150021550,2015,4,47,Motorcyclists,M,Non Intersection,MURRINDINDI,1,Sunday,Day,1,Not at intersection,100,Clear,1,1,145.2789248,-37.27483685
2531888.424,2588536.405,1,T20150022156,2015,4,52,Motorcyclists,M,Non Intersection,SHEPPARTON,2,Monday,Day,1,Not at intersection,100,Clear,1,1,145.3545972,-36.20153001
2515994.248,2381943.797,1,T20150022391,2015,4,50,Motorcyclists,M,Non Intersection,DANDENONG,5,Thursday,Dusk/Dawn,1,Not at intersection,80,Clear,0.333333333,3,145.1822536,-38.06365049
2505290.464,2404226.428,1,T20150023839,2015,4,28,Motorcyclists,M,Non Intersection,STONNINGTON,4,Wednesday,Day,1,Not at intersection,100,Clear,0.25,4,145.0601243,-37.86301923
2503130.337,2406304.5,1,T20150024295,2015,4,61,Motorcyclists,M,Intersection,STONNINGTON,3,Tuesday,Day,1,T intersection,60,Clear,0.333333333,3,145.0355664,-37.84430581
2499800.976,2402531.156,1,T20150025544,2015,4,31,Motorcyclists,M,Intersection,GLEN EIRA,4,Wednesday,Day,1,T intersection,60,Clear,0.5,2,144.9977377,-37.87830836
2495653.006,2406239.129,1,T20150026735,2015,4,32,Motorcyclists,M,Non Intersection,PORT PHILLIP,4,Wednesday,Day,1,Not at intersection,40,Clear,0.333333333,3,144.9506098,-37.8448899
2516236.298,2409251.696,1,T20160000068,2016,1,25,Motorcyclists,M,Non Intersection,WHITEHORSE,6,Friday,Dusk/Dawn,1,Not at intersection,80,Clear,1,1,145.184409,-37.81761522
2543587.377,2365013.165,1,T20160000638,2016,1,41,Motorcyclists,M,Intersection,CARDINIA,1,Sunday,Day,1,T intersection,100,Clear,0.333333333,3,145.4976805,-38.21528449
2506215.519,2392657.54,1,T20160000968,2016,1,22,Motorcyclists,M,Intersection,KINGSTON,5,Thursday,Day,1,T intersection,60,Clear,0.5,2,145.0707349,-37.96724507
2482055.259,2417437.501,1,T20160001863,2016,1,27,Motorcyclists,M,Intersection,BRIMBANK,4,Wednesday,Day,1,Cross intersection,60,Clear,0.5,2,144.7963857,-37.74382853
2601828.698,2332195.808,1,T20160001982,2016,1,41,Motorcyclists,M,Intersection,SOUTH GIPPSLAND,5,Thursday,Day,1,T intersection,100,Clear,0.333333333,3,146.1672263,-38.50629198
2525502.032,2405397.291,1,T20160002327,2016,1,18,Motorcyclists,M,Non Intersection,KNOX,3,Tuesday,Day,1,Not at intersection,50,Clear,0.5,2,145.2897803,-37.85213525
2496274.352,2423696.246,1,T20160002505,2016,1,45,Motorcyclists,M,Non Intersection,HUME,5,Thursday,Day,1,Not at intersection,70,Clear,0.333333333,3,144.9577575,-37.68760021
2257555.524,2776005.293,1,T20160002719,2016,1,38,Motorcyclists,M,Non Intersection,MILDURA,7,Saturday,Dark No street lights,1,Not at intersection,100,Clear,1,1,142.3624664,-34.48259036
2604411.772,2366011.974,1,T20160002812,2016,1,44,Motorcyclists,M,Intersection,BAW BAW,2,Monday,Day,1,T intersection,100,Clear,0.5,2,146.191979,-38.20142475
